Meadow,Site,MS,Elevation,Species1,Species2,Schoener,HymenopteraVsPlants
a,3,a3,949.8,ProportionSambucus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSanguisorba minor,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSaponaria ocymoides?,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSenecio sp#,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSilene dioica,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSilene nutans,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSisymbrium officinale,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSolidago virgaurea,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionSpiranthes spiralis,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionStachys recta,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionThesium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionTragopodon pratensis,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionTrifolium badium,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionTrifolium campestre,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionTrolleis europaeus,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionVaccinium vitis-idaea,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionValeriana,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionVerbena officinalis,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionVeronica chamaedris,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionVeronica officinalis,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionVeronica sp#,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionVicia sepium,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionVincetoxicum hirundinaria,ProportionZDensityHymenopteraTOTAL,,x
a,3,a3,949.8,ProportionViola sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAcinos alpinus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAconitum anthora,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAconitum napellus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAegopodium podagraria,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAjuga pyramidalis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAjuga reptans,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAlchemilla sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAnacamptis pyramidalis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAnemone narcissiflora,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAnthericum ramosum,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionApiaceae sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionArnica montana,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAster amellus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAster bellidiastrum,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionAtroba belladonna,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionBistorta vivipara,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionBuphthalmum salicifolium,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCapsella bursa-pastoris,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCarduus defloratus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCarlina vulgaris,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCephalanthera longifolia,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionChenopodium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCichorium intybus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCoeglossum viride,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionConvolvulus arvensis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionConyza sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCrepis sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCrepis sp# 2,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionCuscuta europaeae,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionDianthus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionEchium vulgare,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionEpilobium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionEuphorbia cyparissias,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionFragaria sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionGentiana sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionGeranium sanguineum?,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionGeranium sylvaticum,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionGlobularia cardiflora,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionGlobularia nudicaulis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionGymnadenia conopsea,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionHippocrepis comosa,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionLamium album,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionLathyrus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionLigustrum vulgare,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionLotus maritimus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionMaianthemum bifolium,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionMalva neglecta,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionMedicago minima,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionMycelis muralis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionMyosotes sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionNeottia ovata,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionOdontites luteus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionOnobrychis vicifolia,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionOphrus apifera,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionOphrus insectifera,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionOrchis mascula,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionOriganum vulgare,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPastinaca sativa,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPhyteuma orbiculare,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPlantago major,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPlanthera bifolia,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPlatanthera chlorantha,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPolygala alpestris,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPrimula veris,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionPulsatilla sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionReseda lutea,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionRumex sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSambucus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSanguisorba minor,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSaponaria ocymoides?,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSenecio sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSilene dioica,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSilene nutans,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSisymbrium officinale,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSolanum dulgamara,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSolidago virgaurea,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionSpiranthes spiralis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionStachys recta,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionTaraxacum sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionTeurium montanum,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionThesium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionTragopodon pratensis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionTrifolium badium,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionTrifolium campestre,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionTrolleis europaeus,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionVaccinium vitis-idaea,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionValeriana,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionVerbena officinalis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionVeronica officinalis,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionVicia sepium,ProportionZDensityHymenopteraTOTAL,,x
a,4,a4,1002.8,ProportionViola sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAconitum anthora,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAconitum napellus,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAegopodium podagraria,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAjuga pyramidalis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAjuga reptans,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAlchemilla sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAllium carinatum,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAnacamptis pyramidalis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAnemone narcissiflora,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAnthericum ramosum,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionArnica montana,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAster amellus,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionAster bellidiastrum,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionBistorta vivipara,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionBuphthalmum salicifolium,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCapsella bursa-pastoris,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCarduus defloratus,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCarlina vulgaris,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCephalanthera longifolia,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionChenopodium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCichorium intybus,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCirsium arvense,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCoeglossum viride,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionConvolvulus arvensis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionConyza sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCrepis sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCrepis sp# 2,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionCuscuta europaeae,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionDianthus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionEpilobium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionFragaria sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionGentiana sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionGeranium pusillum,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionGeranium sanguineum?,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionGeranium sylvaticum,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionGlobularia cardiflora,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionGlobularia nudicaulis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionGymnadenia conopsea,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionLamium album,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionLathyrus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionMaianthemum bifolium,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionMalva neglecta,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionMedicago minima,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionMelampyrum sylvaticum,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionMycelis muralis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionMyosotes sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionNeottia ovata,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionOdontites luteus,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionOnobrychis vicifolia,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionOphrus apifera,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionOphrus insectifera,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionOrchis mascula,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionOriganum vulgare,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionPastinaca sativa,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionPhyteuma orbiculare,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionPlantago major,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionPlanthera bifolia,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionPlatanthera chlorantha,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionPrimula veris,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionPulsatilla sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionReseda lutea,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionRhinanthus minor,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionRumex sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSanguisorba minor,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSaponaria ocymoides?,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSenecio sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSilene dioica,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSilene nutans,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSisymbrium officinale,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSolidago virgaurea,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionSpiranthes spiralis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionStachys recta,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionTaraxacum sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionThesium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionTragopodon pratensis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionTrifolium badium,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionTrolleis europaeus,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionVaccinium vitis-idaea,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionValeriana,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionVerbena officinalis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionVeronica officinalis,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionVeronica sp#,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionVeronica teucrium,ProportionZDensityHymenopteraTOTAL,,x
a,5,a5,1001,ProportionViola sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAcinos alpinus,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAconitum anthora,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAconitum napellus,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAegopodium podagraria,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAjuga pyramidalis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAjuga reptans,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAlchemilla sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAnacamptis pyramidalis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAnemone narcissiflora,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAnthyllis vulneraria,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionApiaceae sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionArnica montana,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAster amellus,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAster bellidiastrum,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionAtroba belladonna,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionBistorta vivipara,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCapsella bursa-pastoris,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCarduus defloratus,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCarduus nutans,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCarlina acaulis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCarum carvi,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCentaurium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCephalanthera longifolia,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCerastium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionChenopodium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCichorium intybus,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCirsium arvense,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCoeglossum viride,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionConvolvulus arvensis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionConyza sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCrepis sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCrepis sp# 2,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCrepis/Hieracium,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionCuscuta europaeae,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionDianthus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionEpilobium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionEuphorbia cyparissias,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionFragaria sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGalium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGentiana sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGeranium pusillum,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGeranium sanguineum?,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGeranium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGeranium sylvaticum,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGlobularia cardiflora,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionGymnadenia conopsea,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionHippocrepis comosa,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionLamium album,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionLathyrus pratensis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionLathyrus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionLigustrum vulgare,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionLotus maritimus,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionMaianthemum bifolium,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionMalva neglecta,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionMedicago minima,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionMelampyrum sylvaticum,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionMycelis muralis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionMyosotes sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionNeottia ovata,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionOnobrychis vicifolia,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionOphrus apifera,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionOphrus insectifera,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionOrchis mascula,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionOriganum vulgare,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionParnassia palustris,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPastinaca sativa,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPhyteuma orbiculare,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPlantago major,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPlanthera bifolia,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPlatanthera chlorantha,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPolygala alpestris,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPolygala vulgaris,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPrimula veris,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionPulsatilla sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionReseda lutea,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionRhinanthus minor,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionRumex sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSambucus sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSanguisorba minor,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSaponaria ocymoides?,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSedum album,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSedum sp# yellow,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSenecio sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSilene dioica,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSilene nutans,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSisymbrium officinale,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSolanum dulgamara,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionSpiranthes spiralis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionStachys recta,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionTaraxacum sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionThesium sp#,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionTragopodon pratensis,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionTrifolium badium,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionTrifolium campestre,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionTrolleis europaeus,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionUrtica dioica,ProportionZDensityHymenopteraTOTAL,,x
a,6,a6,981.9,ProportionVaccinium vitis-idaea,ProportionZDensityHymenopteraTOTAL,,x
