Meadow,Site,Elevation,Species1,Species2,Schoener
i,6,702.2,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.185906469
i,1,766.3,Echium vulgare,ZDensityHymenopteraTOTAL,0.18710828
a,1,1020.6,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.187335161
a,1,1020.6,Trifolium campestre,ZDensityHymenopteraTOTAL,0.187335161
a,3,949.8,Carlina acaulis,ZDensityHymenopteraTOTAL,0.188191882
a,3,949.8,Polygonum aviculare,ZDensityHymenopteraTOTAL,0.188191882
a,3,949.8,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.188454064
a,6,981.9,Buphthalmum salicifolium,ZDensityHymenopteraTOTAL,0.188931298
a,4,1002.8,Rubus sp#,ZDensityHymenopteraTOTAL,0.189148736
a,6,981.9,Odontites luteus,ZDensityHymenopteraTOTAL,0.189826595
u,2,1749.2,Phyteuma orbiculare,ZDensityHymenopteraTOTAL,0.190137321
i,1,766.3,Teurium montanum,ZDensityHymenopteraTOTAL,0.190318471
n,1,1390.3,Rubus sp#,ZDensityHymenopteraTOTAL,0.19071318
n,1,1390.3,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.190925337
n,2,1405.5,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.192826741
n,3,1407.7,Veronica officinalis,ZDensityHymenopteraTOTAL,0.194107452
n,3,1407.7,Veronica teucrium,ZDensityHymenopteraTOTAL,0.194107452
i,3,711.5,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.195936139
a,5,1001,Orchis ustulata,ZDensityHymenopteraTOTAL,0.196027935
i,6,702.2,Potentilla erecta,ZDensityHymenopteraTOTAL,0.197286779
o,4,1576.2,Centaurea sp#,ZDensityHymenopteraTOTAL,0.201167777
i,6,702.2,Stachys recta,ZDensityHymenopteraTOTAL,0.202390131
a,1,1020.6,Medicago minima,ZDensityHymenopteraTOTAL,0.203625175
i,2,737.4,Sanguisorba minor,ZDensityHymenopteraTOTAL,0.203810206
i,3,711.5,Geranium pusillum,ZDensityHymenopteraTOTAL,0.205077121
a,2,984.9,Carum carvi,ZDensityHymenopteraTOTAL,0.207358606
i,2,737.4,Aster amellus,ZDensityHymenopteraTOTAL,0.209421077
a,3,949.8,Medicago lupulina,ZDensityHymenopteraTOTAL,0.210701107
a,6,981.9,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.211832061
o,3,1612.7,Viola sp#,ZDensityHymenopteraTOTAL,0.216423853
i,2,737.4,Parnassia palustris,ZDensityHymenopteraTOTAL,0.216681551
n,2,1405.5,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.216696446
n,2,1405.5,Silene nutans,ZDensityHymenopteraTOTAL,0.216795712
u,2,1749.2,Aegopodium podagraria,ZDensityHymenopteraTOTAL,0.217156835
n,4,1420,Melampyrum sylvaticum,ZDensityHymenopteraTOTAL,0.218019319
u,1,1745.8,Galium sp#,ZDensityHymenopteraTOTAL,0.219512195
a,5,1001,Centaurium sp#,ZDensityHymenopteraTOTAL,0.219679491
i,3,711.5,Echium vulgare,ZDensityHymenopteraTOTAL,0.220416062
a,5,1001,Apiaceae sp#,ZDensityHymenopteraTOTAL,0.220864251
a,1,1020.6,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.221828335
a,1,1020.6,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.222242333
a,1,1020.6,Orchis ustulata,ZDensityHymenopteraTOTAL,0.222242333
i,7,648.5,Vicia cracca,ZDensityHymenopteraTOTAL,0.226152024
i,4,702.4,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.227544445
u,2,1749.2,Carlina acaulis,ZDensityHymenopteraTOTAL,0.227664424
a,1,1020.6,Stachys officinalis,ZDensityHymenopteraTOTAL,0.228060195
i,3,711.5,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.229675513
i,3,711.5,Silene vulgaris,ZDensityHymenopteraTOTAL,0.231505084
n,1,1390.3,Silene nutans,ZDensityHymenopteraTOTAL,0.232006906
i,2,737.4,Carlina vulgaris,ZDensityHymenopteraTOTAL,0.232254969
a,2,984.9,Ligustrum vulgare,ZDensityHymenopteraTOTAL,0.234147555
a,4,1002.8,Polygonum aviculare,ZDensityHymenopteraTOTAL,0.236472896
a,4,1002.8,Leucanthemum vulgare,ZDensityHymenopteraTOTAL,0.239071499
i,7,648.5,Globularia nudicaulis,ZDensityHymenopteraTOTAL,0.240202412
n,5,1398.6,Cerastium sp#,ZDensityHymenopteraTOTAL,0.241910745
n,3,1407.7,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.242634315
n,3,1407.7,Apiaceae sp#,ZDensityHymenopteraTOTAL,0.242634315
i,6,702.2,Carlina acaulis,ZDensityHymenopteraTOTAL,0.242868157
n,5,1398.6,Potentilla sp#,ZDensityHymenopteraTOTAL,0.24288971
a,1,1020.6,Lotus maritimus,ZDensityHymenopteraTOTAL,0.243445209
a,6,981.9,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.244224781
a,3,949.8,Trifolium repens,ZDensityHymenopteraTOTAL,0.247597823
i,1,766.3,Cerastium sp#,ZDensityHymenopteraTOTAL,0.247643312
o,4,1576.2,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.249064866
o,4,1576.2,Plantago major,ZDensityHymenopteraTOTAL,0.249064866
n,2,1405.5,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.250148898
n,2,1405.5,Daucus carota,ZDensityHymenopteraTOTAL,0.250148898
n,2,1405.5,Teucrium chamaedris,ZDensityHymenopteraTOTAL,0.250148898
i,3,711.5,Sedum album,ZDensityHymenopteraTOTAL,0.251295874
o,3,1612.7,Cerastium sp#,ZDensityHymenopteraTOTAL,0.252494496
o,3,1612.7,Melampyrum sylvaticum,ZDensityHymenopteraTOTAL,0.252494496
u,1,1745.8,Cirsium acaule,ZDensityHymenopteraTOTAL,0.253658537
i,5,684.5,Onobrychis vicifolia,ZDensityHymenopteraTOTAL,0.253929867
i,5,684.5,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.253929867
i,6,702.2,Acinos alpinus,ZDensityHymenopteraTOTAL,0.255878951
